county,state,asians,blacks,hispanics,whites,homeowner,households,housing_units,per_capita_income,foreign_born,pop_2020,pop_2010
Beaver County,UT,0.8,0.4,12.4,83.8,74.1,2282,3059,23382,7.5,7072,6629
Beaverhead County,MT,0.5,0.4,5.5,89.5,67.8,3992,5363,28401,2.3,9371,9246
Benewah County,ID,0.4,0.5,3.8,84.6,73.3,3418,4790,23255,1.2,9530,9285
Bent County,CO,1.5,7.3,32.2,57,59.6,1767,2277,13930,4.6,5650,6499
Benton County,OR,7,1.2,7.8,79.8,57.2,35718,39105,33817,9.8,95184,85579
Benton County,WA,3.3,1.8,22.6,69.4,68.8,72121,78624,32882,10.7,206873,175177
Bernalillo County,NM,2.9,3.6,50.3,38.3,63,267699,296404,30734,10.1,676444,662564
Bethel Census Area,AK,1,1,2.7,9.6,58.2,4489,6034,19885,2.3,18666,17013
Big Horn County,MT,0.7,0.4,6.6,26.5,63.4,3609,4728,18934,1,13124,12865
Big Horn County,WY,0.5,0.8,9.2,87.5,73.2,4475,5478,24693,2.9,11521,11668
Bingham County,ID,1,0.6,17.9,73.9,76.8,14989,17003,23059,4.9,47992,45607
Blaine County,ID,1.2,0.7,23.5,73.7,70.1,7995,15600,33645,15.7,24272,21376
Blaine County,MT,0.2,0.4,3.7,43.8,58,2366,2857,19258,0.7,7044,6491
Boise County,ID,1,0.5,5.2,90.1,82.8,3205,5697,31975,3.4,7610,7028
Bonner County,ID,0.8,0.3,3.4,92.6,75.7,17537,25360,27918,2.4,47110,40877
Bonneville County,ID,1.1,0.7,13.4,82.5,69.6,39768,44564,28671,5.3,123964,104234
Boulder County,CO,5,1.2,14,77.4,62.2,127415,140551,46826,10.7,330758,294567
Boundary County,ID,1,0.7,5.1,90,76.7,4653,5591,25782,4.3,12056,10972
Box Elder County,UT,0.8,0.6,9.7,86.7,77.8,17569,19357,24797,3.2,57666,49975
Bristol Bay Borough,AK,1.8,0.8,7.4,39.6,53.8,314,977,44168,2.2,844,997
Broadwater County,MT,0.3,0.6,2.9,93.3,82.5,2364,2739,31631,1,6774,5612
Broomfield County,CO,6.9,1.5,12.7,76.4,65.2,27470,29675,50863,8.9,74112,55889
Butte County,CA,5,1.9,17.2,70.9,59,85320,86209,29506,7.3,211632,220000
Butte County,ID,0.3,0.4,5.4,90.9,82.3,967,1381,30294,0.7,2574,2891
Cache County,UT,2.3,1.1,10.9,83.5,63,38393,43169,23713,6.5,133154,112656
Calaveras County,CA,1.9,1.1,13,79.9,77.8,16942,28181,33456,4.8,45292,45578
Camas County,ID,0.4,0.5,6.3,88.7,75.6,394,875,30209,2.1,1077,1117
Campbell County,WY,0.8,0.7,8.9,86.9,73.4,17574,20399,34776,3.1,47026,46133
Canyon County,ID,1.1,0.8,25.6,70,69.5,72807,80055,22232,7.9,231105,188923
Carbon County,MT,0.3,0.6,2.4,94,76.4,4524,6584,33067,1,10473,10078
Carbon County,UT,0.7,0.6,13.4,82.9,73.7,7829,9872,23862,2.5,20412,21403
Carbon County,WY,1,1.2,18.5,76.9,69.6,6204,8845,29552,5.4,14537,15885
Caribou County,ID,0.4,0.1,6.4,91.2,79.3,2538,3333,26221,3,7027,6963
Carson City,NV,2.7,2.1,24.1,67,56.8,22755,-1,31549,12.7,58639,55274
Carter County,MT,0.1,0.2,1.1,95.8,72,628,835,28577,0,1415,1160
Cascade County,MT,1,1.7,4.7,84.9,64.4,34329,39206,30110,2.1,84414,81327
Cassia County,ID,0.8,0.9,27.2,69.7,70.3,7711,8925,21687,10.7,24655,22952
Catron County,NM,0.3,0.8,19,74.9,87.7,1325,3413,21989,2.5,3579,3725
Chaffee County,CO,0.9,1.8,10,85.2,77.8,8231,11498,29827,3.8,19476,17809
Chaves County,NM,1.2,2.4,57.8,37.9,68.9,23284,27480,22041,12.6,65157,65645
Chelan County,WA,1.2,0.9,28.2,67.6,64.4,28384,38644,30870,12.9,79074,72453
Cheyenne County,CO,2.3,0.8,11,83.8,71.4,774,1010,29081,9,1748,1836
Chouteau County,MT,0.4,0.2,2.9,76.8,63.8,2274,2963,23769,1.9,5895,5813
Churchill County,NV,3,2.5,14.5,72.5,65.4,9940,11045,28462,7.3,25516,24877
Cibola County,NM,0.6,1.5,38.5,18.9,68.7,8708,11457,20018,2.5,27172,27213
